n,delta,kappa,cp_gap,risk_gap,nc,cp_ols,cp_ridge,risk_ols,risk_ridge
50.0,0.0,10.406799323034472,1.8002544431359633,1.2886840554363883,12.0,5.988948629326759,4.188694186190796,4.978640120262269,3.6899560648258807
50.0,1.0,0.6793512848688548,-0.12411221614819024,0.7277848253332269,12.0,4.290364305612123,4.414476521760313,3.485010102948926,2.7572252776156994
50.0,1.0,3.0001262611387656,-0.5940443432830733,0.2505347736408332,12.0,7.128893813966831,7.722938157249905,3.2824570790600145,3.0319223054191813
50.0,0.0,5.702338166246425,1.1388653013606538,0.5012667684100798,12.0,7.097125181946256,5.958259880585603,2.665510070574206,2.164243302164126
50.0,0.0,9.647118442235845,1.4621323863384221,0.4957862818848806,12.0,6.5516325881858135,5.089500201847391,3.841236324550824,3.3454500426659433
50.0,0.0,3.99175704231456,0.8709856777878544,0.7358409898675853,12.0,5.20533454016663,4.334348862378776,2.6359118129604195,1.9000708230928343
50.0,0.0,3.0867699479502755,0.3671416644234258,0.784757188109011,12.0,7.298800619038481,6.931658954615055,4.9615670957110245,4.1768099076020135
50.0,0.0,4.129421620926342,0.5795128389172062,0.2951988782362225,12.0,7.909718494126232,7.330205655209026,2.4589420033363676,2.163743125100145
50.0,1.0,6.516284323116257,-0.8662315376305445,0.7653114413199473,12.0,5.986125497677761,6.852357035308305,2.830926189163416,2.0656147478434685
50.0,0.0,0.03272232160893836,-0.009176877513096038,-0.7080682714087998,12.0,6.429227307976549,6.438404185489645,2.6792538867508924,3.387322158159692
50.0,0.0,4.584171248468003,0.4408767897626831,0.7191901764609523,12.0,5.225492025034946,4.784615235272263,3.323882877582516,2.604692701121564
50.0,0.0,5.268855336425868,-0.9159427199065391,-0.17842013043097116,12.0,5.397479102837066,6.313421822743605,0.9087387127194373,1.0871588431504084
50.0,1.0,6.608156782926632,0.9091792646908141,-0.43031751227542525,12.0,6.41171133848521,5.502532073794396,4.23619667194338,4.666514184218805
50.0,1.0,0.6411536246195826,-0.07856975807173239,0.29411988732409977,12.0,4.710618329428142,4.789188087499874,3.2145910038662078,2.920471116542108
50.0,0.0,4.567222197645803,0.500156794077939,0.5142463176485235,12.0,7.207520198266958,6.707363404189019,3.4849750539962314,2.970728736347708
50.0,1.0,6.4459637303668975,1.4288377239585888,-0.03301842933440269,12.0,7.354243152777708,5.925405428819119,1.9916971261121563,2.024715555446559
50.0,1.0,3.06178198830897,-0.598591952570553,0.5182256152082032,12.0,3.360979643335375,3.959571595905928,3.8961878774641767,3.3779622622559735
