dataset,n,delta,kappa,cp_gap,risk_gap,nc
diabetes,442,0,1.1809710220925362,-13.134637907692678,-413.01453986821434,110
diabetes,442,0,0.7820614738474546,-9.902125768573683,-464.61802767904555,110
diabetes,442,0,0.85162050011549,-11.168201727750017,-230.40979279180556,110
diabetes,442,0,1.4688091994882053,-17.33558497806601,-324.2584961368375,110
diabetes,442,0,1.5909050985051567,-18.85076764005592,-641.7125959947653,110
diabetes,442,0,0.23847022248220998,-2.9693634604991814,-542.0009018509586,110
diabetes,442,0,1.7452278297889665,-21.06286320485256,-416.3553878966486,110
diabetes,442,0,2.6506153647838206,-29.571321339324356,-504.64794746340976,110
diabetes,442,0,1.077238756155784,-13.342495523813852,-35.61286051183197,110
diabetes,442,0,1.6734837320390081,-17.535512187923246,-939.3767819895706,110
diabetes,442,0,1.651958958159182,-20.581959156047304,-394.00982880496895,110
diabetes,442,0,0.9433593392915348,-10.629429500495405,-589.6992292438822,110
diabetes,442,0,0.6902190211047861,-7.346827646146579,-844.8140294724681,110
diabetes,442,1,0.9382161685491035,11.50425930838162,-502.516189723608,110
diabetes,442,0,0.1007171512947291,-1.1043077861897075,-294.5683917804354,110
diabetes,442,0,0.5173399524502421,-6.390080461069431,-794.1095236812785,110
diabetes,442,0,1.0953402100139509,-13.78184836353347,-529.6475022800805,110
diabetes,442,1,0.17362537515206905,2.151236214482765,-578.1380701933485,110
diabetes,442,0,0.1767536150194678,-2.401633983517513,-553.7201982038382,110
diabetes,442,1,0.4981878079286762,6.129045939983769,-704.3239253072402,110
diabetes,442,0,0.3083601320986464,-3.3413160616048003,-867.4411823622536,110
diabetes,442,1,0.4684491669212557,6.003607419516925,-646.1270317343156,110
diabetes,442,1,0.6329462997025039,7.1553582292540625,-829.3487724409747,110
diabetes,442,0,0.8867984743832878,-11.999682192928958,-594.0302338657102,110
diabetes,442,0,1.655322163023818,-17.151148779881026,-244.22973018688663,110
diabetes,442,0,1.567414886388715,-18.739597259208722,-674.3182912972538,110
diabetes,442,1,0.2173759417325419,2.6415589690373054,-580.7973348396326,110
diabetes,442,0,2.019532929416957,-20.948414004939593,-289.174442802916,110
diabetes,442,0,1.7690664551319977,-16.3854913130302,-488.00629985570504,110
diabetes,442,0,1.3280108983984105,-14.639890128962975,-689.0610249050328,110
diabetes,442,0,1.5310358788838108,-18.550789506641138,-327.10731296249514,110
diabetes,442,0,2.184538205254499,-25.792032208749248,-692.9235663461286,110
diabetes,442,0,0.9872122441280717,-10.89009394730607,-691.5801973068069,110
diabetes,442,0,1.1755348757265196,-14.691617015599434,-420.7684526316557,110
diabetes,442,0,0.8399292726684686,-10.970872655297143,-342.3860346767465,110
diabetes,442,0,1.079083504299963,-13.07162838706401,-908.0594516525939,110
diabetes,442,0,1.0931530058107208,-13.565664735018203,-522.9171148656137,110
diabetes,442,0,0.6925749092764313,-8.77275442691925,-473.00127192996433,110
diabetes,442,0,1.0725324516456123,-11.806488016741639,-752.5891935406098,110
diabetes,442,0,0.35217832256866044,-4.111414212784041,-975.9646782027548,110
diabetes,442,1,0.4971344529250155,6.596863854112939,-497.29579033745085,110
diabetes,442,1,0.08660174756758776,1.033138831436446,-588.853226000932,110
diabetes,442,0,1.4586613246065343,-16.025225376956456,-786.3593514803292,110
diabetes,442,0,1.957512672966173,-21.995643742062356,-41.23060692289164,110
diabetes,442,0,0.1728957333668313,-1.836443645009581,-296.403073490334,110
diabetes,442,0,2.59272015571247,-28.7526040972526,-674.8738909507742,110
diabetes,442,0,0.8325321992505264,-12.244731650555678,-678.4323817951763,110
diabetes,442,1,0.3809299029850539,4.52270888489133,-433.34781725167886,110
diabetes,442,1,0.2636473301129345,3.6376332278869654,-209.66187932360071,110
diabetes,442,0,0.014366216276072135,-0.17178727726971488,-261.0115803268095,110
diabetes,442,0,1.7369985978135833,-20.024140623610435,-253.4061887018338,110
