dgp,ests,rho,B,n,p,delta,kappa,est_key,cp_winner,risk_winner
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.09779980962179198,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.2594241293699906,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.237233622996102,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.1892065320035976,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.4969095100799925,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.135347554707776,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.6976620525201752,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.821336158229542,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.7699937142759022,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.4951621475569501,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.543868510683129,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.2905449622574292,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.1673697271393546,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.9385861789360529,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,1,0.23132568487057448,Linear3,OLS,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.4425990531495667,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.7425651589415796,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.2372507422561934,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,1,0.2966342194957548,Linear3,OLS,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.0512007605805351,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.3823077841213154,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.691579748085092,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.3744209469040385,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.5191923533120189,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,4.36098381311581,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.7752739543878128,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.415647864039353,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.0892434982343997,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.736695308067694,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.6327253968177389,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.029323064500334,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,1,0.2541212998662962,Linear3,Ridge,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.903952155733799,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.8451153872206187,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.4433925039452213,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.0499439082882756,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.4759373764521008,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,3.2164411865428773,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.1066161276199389,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.126086028184285,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,1,0.23998500813698181,Linear3,Ridge,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.4745650429218959,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.4711515039748653,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.3555074086369937,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.2678524145567858,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.945123898491789,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,1,0.1655778923071638,Linear3,Ridge,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.223047831399461,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.7576216395819126,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.214695191329913,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,0.7470938175950207,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.336406261404823,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.378460694274636,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.6456473125836057,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.0894825884795423,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,1,1.0740158993351077,Linear3,OLS,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,1.541993951472708,Linear3,Lasso,Lasso
linear,OLS+Ridge+Lasso,0.0,10,500,50,0,2.888865017964757,Linear3,Lasso,Lasso
