rho,n,p,delta,cp_ols,cp_ridge,risk_ols,risk_ridge
0.0,300.0,50.0,1.0,3.233874642126195,3.266818988912672,1.513770562214336,1.5039893386221967
0.0,300.0,50.0,0.0,3.4227630474994415,3.4052530311724243,1.163608056724148,1.1435871346889586
0.0,300.0,50.0,1.0,3.7259541019255322,3.7605677010072127,0.9483305030023549,0.9378872773326409
0.0,300.0,50.0,0.0,3.8895416890372574,3.8636742201798926,1.7434726380219168,1.7367683672128582
0.0,300.0,50.0,0.0,3.6292193616849326,3.602881918293863,1.604219351690659,1.5936111330190963
0.0,300.0,50.0,0.0,3.7552927451042546,3.7419014253864935,1.2169217911901924,1.1998037323914637
0.0,300.0,50.0,0.0,4.391823609217989,4.315735750271365,1.7121011525414713,1.6893993365862998
0.0,300.0,50.0,0.0,3.9213852503418654,3.898896929438674,1.4682924306921121,1.468004910790315
0.0,300.0,50.0,1.0,3.9749240438025,4.007171792386832,1.582918048453759,1.5700371604393257
0.0,300.0,50.0,0.0,4.139944189664152,4.081106070882198,1.4370746560667682,1.4227969724605167
0.0,300.0,50.0,0.0,3.853041115537291,3.8051773046223474,1.4945055593039154,1.494081278462261
0.0,300.0,50.0,1.0,3.868793905654096,3.9003568987892843,1.4502402831158578,1.4308167927588604
0.0,300.0,50.0,1.0,3.8336793032809418,3.8389536928764088,1.6204378568636282,1.6097147957611262
0.0,300.0,50.0,0.0,3.964975570500884,3.9499783421813404,1.6541510941442357,1.6511711882235929
0.0,300.0,50.0,1.0,3.446513079006318,3.466958094435432,1.5865466392742056,1.5697582665850838
0.0,300.0,50.0,1.0,3.3323461529337672,3.347708113571729,1.2185145395122767,1.2052371112586797
0.0,300.0,50.0,0.0,4.738539623811069,4.653465228956916,1.267610177437937,1.2472648763549001
0.0,300.0,50.0,1.0,4.074429368659657,4.091238926681082,1.5925479131015092,1.588114164417827
0.0,300.0,50.0,0.0,4.217099705442024,4.182923216071818,1.8167703403417272,1.7685256721660425
0.0,300.0,50.0,0.0,3.426043396838973,3.439238465583789,1.5895922302110508,1.5911166202000766
0.0,300.0,50.0,1.0,4.035949496187121,4.065042522649427,1.883512024878245,1.8745975048965542
0.0,300.0,50.0,0.0,4.151939043317161,4.097571119048823,2.4891643407587374,2.4595100911732595
0.0,300.0,50.0,0.0,3.968090086696523,3.92884764268274,1.5430450471291692,1.52581858290605
0.0,300.0,50.0,0.0,4.294382672532313,4.28432396396727,1.5408002945634076,1.5227001920784335
0.0,300.0,50.0,1.0,3.3355628506292336,3.3462491116623685,2.019602361528305,1.9897613543902972
0.0,300.0,50.0,0.0,3.806612894152045,3.793733101454586,1.2561506237024198,1.24703763263161
0.0,300.0,50.0,0.0,4.7658221681438375,4.72877063150644,1.420744747732024,1.3996969822956067
0.0,300.0,50.0,0.0,4.2826986765821,4.254364048933964,1.4708354173124194,1.4603196669549945
0.0,300.0,50.0,1.0,3.2101107667718676,3.1657791723060487,1.7254065730980999,1.7298424464347635
0.0,300.0,50.0,0.0,3.353266322782156,3.243395070166853,1.0798436385600518,1.0767853192019408
0.0,300.0,50.0,0.0,3.6290687481072954,3.5875533333116736,0.9249814067249713,0.9159898067686386
0.0,300.0,50.0,0.0,3.54946571373644,3.5007831531694396,0.8981101196621715,0.8979555677104073
0.0,300.0,50.0,0.0,4.019075448604631,3.9717024431525165,1.4529672684033337,1.4328038795901816
0.0,300.0,50.0,1.0,3.9317349727662574,3.946904978506366,1.1261512064930155,1.1175369701451248
0.0,300.0,50.0,1.0,3.941427851949772,3.957142213386936,1.4095666920485013,1.3941055872384407
0.0,300.0,50.0,0.0,4.4711161139335704,4.4639111815544,1.5377560733922289,1.5277969227610226
0.0,300.0,50.0,0.0,4.154716662477805,4.0805942413585115,1.485342786408331,1.471545707430916
0.0,300.0,50.0,1.0,4.109355191907308,4.111664125480672,1.6500121091992481,1.6433522348189813
0.0,300.0,50.0,0.0,4.402026718212915,4.37314415670086,1.6502066909948025,1.6332844246793803
0.0,300.0,50.0,0.0,3.1639290699726357,3.1363690734339316,1.4643871814652973,1.4501599154165907
0.0,300.0,50.0,0.0,3.575268750257361,3.532953415478485,1.8654090906480463,1.8330643287726185
0.0,300.0,50.0,0.0,4.039372062131112,4.035122682314547,1.7056889134193616,1.6910015965487124
0.0,300.0,50.0,0.0,3.5939214098263434,3.5499393963076225,1.1585678775031953,1.149363774042549
0.0,300.0,50.0,1.0,3.681469948277353,3.634511584078616,1.1599630469383369,1.1621282725555602
0.0,300.0,50.0,1.0,4.807689918059199,4.744690177557225,1.1484102600102806,1.152097601245595
0.0,300.0,50.0,0.0,3.536341633242656,3.522393137703129,1.3182448833576548,1.3071110616297417
0.0,300.0,50.0,0.0,4.3845736106707704,4.340629332586019,1.7542020130888154,1.737550664731215
0.0,300.0,50.0,0.0,4.862107369042929,4.847135620020377,2.109790903289441,2.094478854254113
0.0,300.0,50.0,0.0,3.9665807922267344,3.9014860890464282,1.90666502196361,1.864079176770418
0.0,300.0,50.0,1.0,4.617958922244879,4.622510645768729,1.74264915107792,1.721608271665912
0.0,300.0,50.0,0.0,4.76561565522604,4.7061425565845285,1.0405612790080587,1.0397625259235814
0.0,300.0,50.0,0.0,3.41956281729545,3.4061764800812178,1.1631439193075277,1.1589244973484705
0.0,300.0,50.0,1.0,3.9533483151527995,3.9567642951382385,1.4138843477579215,1.398440776115347
0.0,300.0,50.0,1.0,3.13068146025608,3.1181112679393292,1.5342803700042273,1.5421191006943302
0.0,300.0,50.0,1.0,3.611555163497851,3.642037474549028,1.3862103028450121,1.3695240787167478
0.0,300.0,50.0,0.0,3.5974674279320813,3.5968521209827156,1.5861015370484008,1.5855982832714104
0.0,300.0,50.0,0.0,3.7391409300179874,3.752659721948856,1.2371673843088182,1.2398765082705159
0.0,300.0,50.0,1.0,3.5182224969930025,3.5262071668134154,1.1970687782113079,1.1881933858631448
0.0,300.0,50.0,0.0,4.109663500866017,4.082152348328073,1.756517680187042,1.740873205331579
0.0,300.0,50.0,1.0,3.6689919929345627,3.6772842754074055,1.2873155145541386,1.276565202984861
0.0,300.0,50.0,0.0,4.681528227415736,4.673329500458511,1.6945245869188144,1.6884194389515774
0.0,300.0,50.0,0.0,4.1792884780479564,4.1552655326732255,1.5737000812137276,1.5650680341200027
0.0,300.0,50.0,0.0,4.053572571621712,4.017374157902899,1.532104953011226,1.5188808012712074
0.0,300.0,50.0,0.0,3.6516979532897973,3.639979964580346,1.8927132818773749,1.8867032577177592
0.0,300.0,50.0,0.0,4.102307998516488,4.063251794271482,1.5911605454096964,1.588997188780569
0.0,300.0,50.0,0.0,4.185571932289673,4.174010367194084,1.6140366833951878,1.5915771878563953
0.0,300.0,50.0,1.0,3.5710908775297145,3.595744032094877,1.1209779828588917,1.113461232286986
0.0,300.0,50.0,0.0,3.4812406409893453,3.4738469296458017,2.0159345132783244,2.0006986167662757
0.0,300.0,50.0,1.0,3.8284692363587087,3.8426814314632893,1.3100329404158038,1.28044168653293
0.0,300.0,50.0,0.0,3.5881004717002365,3.579460991673576,1.3470833432717224,1.3312775941035837
0.0,300.0,50.0,0.0,4.739049590958367,4.703732128020379,1.3274968973318386,1.3176965183564349
0.0,300.0,50.0,0.0,3.3220513712064075,3.291694447409664,1.8956658444207528,1.8931558913204662
0.0,300.0,50.0,0.0,4.276515530086364,4.240385155947974,1.5028639200578635,1.4877909104311722
0.0,300.0,50.0,1.0,3.801460664472825,3.788146522035656,1.4366938087045884,1.439553159823401
0.0,300.0,50.0,0.0,4.779030764427003,4.773064619752117,1.5250130336076837,1.5094491296584165
0.0,300.0,50.0,0.0,3.460136274690964,3.418178911620936,1.7533271430341475,1.7462321225711623
0.0,300.0,50.0,0.0,4.352258519979599,4.3180405853144865,1.7937537473457954,1.7777126474550948
0.0,300.0,50.0,0.0,3.877943406518307,3.8475598735491903,1.414158890459023,1.4065753362496376
0.0,300.0,50.0,0.0,4.959833301646197,4.930277546899437,1.8055589129965934,1.7781681551868773
0.0,300.0,50.0,0.0,4.2483552495528185,4.200073608873678,1.03626650549281,1.0320122644038559
0.0,300.0,50.0,1.0,4.132726690719317,4.135742189153344,1.2182914845254522,1.2139843933728618
0.0,300.0,50.0,0.0,3.655490017052732,3.584640183267133,1.706301638000891,1.669572058924725
0.0,300.0,50.0,0.0,4.21503260727105,4.194002159500213,1.7231075088568453,1.6915557447339857
0.0,300.0,50.0,0.0,3.379909765102913,3.3720325389144605,1.560147667370781,1.5537372263527254
0.0,300.0,50.0,0.0,3.4951527235719624,3.465944084921233,1.5906340941482338,1.5833567724590847
0.0,300.0,50.0,0.0,3.6783392366119285,3.674425714560272,1.1174539324357105,1.1111669049054722
0.0,300.0,50.0,1.0,4.041042240651436,4.049389054072719,1.1241290256762757,1.115722872709919
0.0,300.0,50.0,0.0,4.039352073344356,4.005583717522698,1.516962123735113,1.5104560928023154
0.0,300.0,50.0,0.0,4.1643211186979014,4.142390825500195,1.4546498344753362,1.440956250861106
0.0,300.0,50.0,0.0,4.0116597650063115,3.9543203189700002,1.586536656679353,1.5862521643530565
0.0,300.0,50.0,1.0,3.5945807639517517,3.6262186727293795,1.4888075527469355,1.4823875510925202
0.0,300.0,50.0,0.0,3.6575766737779256,3.6452446748757366,1.7056811815646105,1.6909956486717497
0.0,300.0,50.0,0.0,3.3017233714868346,3.2941042551413524,2.0357700998710153,1.9902299014274232
0.0,300.0,50.0,1.0,4.469685372029283,4.478622386005316,1.3041289340095896,1.2988584326819728
0.0,300.0,50.0,1.0,3.9287038511235703,3.9409685072697775,0.7990980963938493,0.7987417790031557
0.0,300.0,50.0,0.0,3.9087004439618895,3.848718334052678,1.8960569149500581,1.8638820507628804
0.0,300.0,50.0,0.0,3.8962713845233474,3.848000934821905,1.5129442910176067,1.5124158959176288
0.0,300.0,50.0,0.0,4.633278983852241,4.5901859703258365,1.667021467602841,1.6491822868915194
0.0,300.0,50.0,0.0,3.93187757551884,3.89074953836238,1.480430371034873,1.4639169884983307
0.0,300.0,50.0,0.0,3.66994700205688,3.648537432795822,1.65373682582945,1.6523998854869466
0.0,300.0,50.0,0.0,4.427798766566606,4.366349598662111,1.2099095451960662,1.175233577918456
0.0,300.0,50.0,0.0,3.9140896485458794,3.9077851605363656,1.682409293644611,1.6662540345675405
0.0,300.0,50.0,0.0,4.250481691143107,4.184681063293594,1.878122690421163,1.8159477786306808
0.0,300.0,50.0,1.0,3.656096935949317,3.670947402251055,1.5908074887315924,1.5805857318208643
0.0,300.0,50.0,1.0,3.545000077702296,3.551086408847973,1.4317146318762597,1.4157722767994478
0.0,300.0,50.0,0.0,3.746764050117963,3.7378974859008287,1.0729714667427603,1.06642839337161
0.0,300.0,50.0,0.0,4.197040727702672,4.136556533356231,1.544293428385949,1.5098527669354376
0.0,300.0,50.0,0.0,3.8064206468747543,3.7488917801173343,1.316589706302699,1.2981483435818033
0.0,300.0,50.0,0.0,4.395767620621513,4.333634056182991,1.479820614085746,1.4783925863266234
0.0,300.0,50.0,0.0,4.01746838470052,3.994630342720207,1.237849409702063,1.236565289564337
0.0,300.0,50.0,0.0,4.005213028245861,3.9645985790540643,1.842470890559863,1.8098576132632336
0.0,300.0,50.0,1.0,3.95369771883664,3.9802520720861403,1.514956852102144,1.5053769752969508
0.0,300.0,50.0,0.0,3.8932738796529214,3.9190894740815616,1.1332835713445495,1.136246164019473
0.0,300.0,50.0,0.0,3.7040752871728606,3.674588584770597,1.3933641349503503,1.376855239129649
0.0,300.0,50.0,0.0,3.8248513651042906,3.756445784916981,1.1435754880308862,1.1243785776780626
0.0,300.0,50.0,1.0,4.597231370214195,4.6208813252779946,1.203080312734553,1.198334840912978
0.0,300.0,50.0,0.0,4.432279023328622,4.3933334214687125,1.3764101955811123,1.371793903875087
0.0,300.0,50.0,0.0,4.179016393082974,4.104655513529917,1.1338900519597284,1.1249786859136441
0.0,300.0,50.0,1.0,3.4547714147536492,3.4912124979396784,2.4007327389551687,2.379685125793537
0.0,300.0,50.0,1.0,4.274327184814213,4.300168760526199,1.2706871816420662,1.2586108534243943
0.0,300.0,50.0,0.0,3.8050271717700967,3.787553581234018,1.5479802865548722,1.5339339022554286
0.0,300.0,50.0,1.0,3.1113492097777584,3.1520277461583763,1.3564225309677211,1.344540453708838
0.0,300.0,50.0,0.0,4.216465592126664,4.202495340166227,1.269813151770298,1.2622453530801871
0.0,300.0,50.0,0.0,4.130333757256206,4.109491801854802,1.316841897065061,1.3104273560408604
0.0,300.0,50.0,0.0,4.3679304897432605,4.2915310053958065,1.9788623299648096,1.937877962431236
0.0,300.0,50.0,1.0,4.1424718561437635,4.172095545967305,1.414023810318252,1.3985699436167913
0.0,300.0,50.0,1.0,4.1642875669382615,4.184194972130634,1.241569183210724,1.230519050760197
0.0,300.0,50.0,0.0,3.764843343730481,3.7489199844434187,1.1607496513853661,1.131935718403176
0.0,300.0,50.0,0.0,3.7670965256921236,3.715038536979324,1.564194513735435,1.5483332380706472
0.0,300.0,50.0,0.0,3.7483493875907543,3.7186029110292376,1.5216826627289939,1.4991979328675717
0.0,300.0,50.0,0.0,4.097792490368188,4.045753572804122,1.3982954677719575,1.3919376713184584
